所属年级,来源,具体来源,章节,试卷题号,题目截图,题干文本,所属章节,参考答案,答案文本,参考解析,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第1节,14,,"14. 已知函数 $f(x)=a x^{2}+b x+c$, 且满足 $f(0)=0, f(x+1)-f(x)=x+1$. 求 $f(x)$ 的值域.",初等函数基本属性,,"$\left[-\frac{1}{8},+\infty\right)$",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第2节,2,,"2. 设函数 $f(x)=\left\{\begin{array}{ll}-\frac{2}{x}, & x \gt 1, \\ -\frac{x^{2}+x}{2}, & x \leqslant 1\end{array}\right.$ 且 $f(a)+1=0$, 则实数 $a$ 构成的集合是
(A) $\{2\}$
(B) $\{1,2\}$
(C) $\{1,-2\}$
(D) $\{-2,1,2\}$",初等函数基本属性,D,D,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第2节,13,,"13. 欲修建一个容积为 8 立方米, 深为 2 米的长方体无盖水池, 如果池底造价是 120 元/平方米,池壁的造价是 80 元/平方米, 求水池的总造价 $y$ 元与池底宽 $x$ 米之间的函数关系式.",初等函数基本属性,,"$y=480+320 x+\frac{1280}{x}, x \gt 0$.",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第3节,4,,"4. 设 $a \gt 0$, 函数 $f(x)=a x^{2}+b x+c$ 的图像关于直线 $x=1$ 对称, 则 $f(1), f(\sqrt{2}), f(\sqrt{3})$ 之间的大小关系是
(A) $f(1) \lt f(\sqrt{2}) \lt f(\sqrt{3})$
(B) $f(\sqrt{3}) \lt f(\sqrt{2}) \lt f(1)$
(C) $f(1) \lt f(\sqrt{3}) \lt f(\sqrt{2})$
(D) $f(\sqrt{2}) \lt f(\sqrt{3}) \lt f(1)$",初等函数基本属性,A,A,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第3节,8,,"8. 若函数 $f(x)=2 x^{2}+p x+3$ 在 $(-\infty, 1]$ 上是减函数, 在 $[1,+\infty)$ 上是增函数, 则 $p=$",初等函数基本属性,$-4$,$-4$,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第3节,12,,"12. 判断函数 $f(x)=x+\frac{1}{x}$ 在 $[1,+\infty)$ 上的单调性, 并用函数单调性的定义来证明.",初等函数基本属性,,"$f(x)=x+\frac{1}{x}$ 在 $[1,+\infty)$ 上是增函数.",,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第3节,14,,"14. 若函数 $f(x)$ 是 $R$ 上的增函数, $g(x)$ 是 $R$ 上的减函数, 判断函数 $H(x)=f(x)-g(x)$ 在 $R$ 上的单调性并证明.",初等函数基本属性,,函数 $H(x)=f(x)-g(x)$ 在 $R$ 上单调递增.,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第4节,3,,"3. 如果函数 $y=x^{2}+b x+c$ 是偶函数,那么
(A) $b \in R , c \in R$
(B) $b \in R , c=0$
(C) $b=0, c=0$
(D) $b=0, c \in R$",初等函数基本属性,D,D,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第4节,5,,"5. 若函数 $f(x)$ 的定义域为 $R$, 则 “ $f(0)=0$ ” 是 “ $f(x)$ 为奇函数” 的
(A) 充分而不必要条件
(B) 必要而不充分条件
(C) 充分必要条件
(D) 既不充分也不必要条件",初等函数基本属性,B,B,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第4节,8,,"8. 设函数 $f(x)$ 是 $R$ 上的偶函数, 且在 $(-\infty, 0)$ 上是减函数, 若 $f(a) \gt f(1)$, 则实数 $a$ 的取值范围是",初等函数基本属性,,$a \lt -1$ 或 $a \gt 1$.,,,,,,,,,,
高中,教辅题,人教B版必修一学探诊,第三章第4节,13,,"13. 设函数 $f(x)$ 的定义域为 $R$, 对任意 $x_{1}, x_{2} \in R , f\left(x_{1}+x_{2}\right)=f\left(x_{1}\right)+f\left(x_{2}\right)$ 恒成立.
(1) 求证: $f(x)$ 是奇函数;
(2) 若 $x \gt 0$ 时, $f(x) \lt 0$, 证明 $f(x)$ 是 $R$ 上的减函数.",初等函数基本属性,证明题,证明题，答案详见解析,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第1节,2,,"2. 实部为 -2 , 虚部为 1 的复数所对应的点位于复平面的 ( )
(A)第一象限
(B) 第二象限
(C)第三象限
(D) 第四象限",复数,B,B,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第1节,5,,"5. 设 $z \in C$, 则满足 $1 \leqslant|z| \leqslant 3$ 的复数在复平面上的对应点构成的图形的面积等于 $(\quad)$
(A) $\pi$
(B) $4 \pi$
(C) $8 \pi$
(D) $9 \pi$",复数,C,C,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第1节,8,,"8. 已知复数 $z$ 的实部与虚部互为相反数, 且 $|z|=2$, 则复数 $z=$",复数,,$\sqrt{2}-\sqrt{2} i$ 或 $-\sqrt{2}+\sqrt{2} i$,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第1节,10,,"10. 已知复数 $z=a+ i$ (其中 $a \in R$ ), 给出下面四个结论:
$(1) \bar{z}=a- i ;$
(2) $|z| \geqslant 1$;
(3) $z$ 一定不是纯虚数;
(4)在复平面上, $z$ 对应的点可能在第三象限.

其中所有正确结论的序号为",复数,,(1)(2),,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第1节,11,,"11. 设 $m \in R$, 复数 $z=\left(m^{2}-3 m-4\right)+\left(m^{2}-5 m-6\right) i$.
(1) 若 $z=0$, 求 $m$ 的值;
(2)若 $z$ 是纯虚数,求 $m$ 的值;
(3)若 $z$ 是虚数,求 $m$ 的取值范围.",复数,"$m=-1;m=4;(-\infty,-1)U(-1,6)U(6,+\infty)$","$m=-1;m=4;(-\infty,-1)U(-1,6)U(6,+\infty)$",,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第1节,14,,"14. 设 $z \in C$, 若 $|z|=z+2-4 i$, 求复数 $z$.",复数,,$z=3+4 i$,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第2节,1,,"1. 复数 $\frac{1+ i }{ i }$ 的共轭复数是 ( )
(A) $i$
(B) $1- i$
(C) $1+ i$
(D) $- i$",复数,C,C,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第2节,3,,"3. 复数 $i + i ^{2}+ i ^{3}+\cdots+ i ^{2025}$ 的值是
(A) $i$
(B) $- i$
(C) 1
(D) -1",复数,A,A,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第2节,6,,"6. 设 $i$ 是虚数单位, 则复数 $\frac{3-i}{1-i}=$",复数,,$2+i$,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第2节,9,,"9. 若复数 $z$ 满足 $2 z+\bar{z}=3-2 i$, 其中 $i$ 为虚数单位, 则 $z=$",复数,,$1-2 i$,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第2节,12,,"12. 已知复数 $z_{1}$ 满足 $\left(z_{1}-2\right) i =1+ i$, 复数 $z_{2}$ 的虚部为 2 , 且 $z_{1} \cdot z_{2}$ 为实数,求复数 $z_{2}$ 的模.",复数,,$2 \sqrt{10}$,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第2节,13,,"13. 已知复数 $z_{1}, z_{2}$ 满足 $(1+ i ) z_{1}=-1+5 i , z_{2}=a-2- i$, 其中 $a \in R$. 若 $\left|z_{1}-\overline{z_{2}}\right| \lt \left|z_{1}\right|$, 求实数 $a$的取值范围.",复数,,"$(1,7)$",,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第3节,3,,"3. 复数 $\sin \frac{\pi}{6}- i \cos \frac{\pi}{6}$ 的一个幅角可以是 ( )
(A) $-\frac{\pi}{6}$
(B) $\frac{\pi}{6}$
(C) $-\frac{\pi}{3}$
(D) $\frac{\pi}{3}$",复数,C,C,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第3节,7,,"7. 计算 $6\left(\cos \frac{\pi}{4}+ i \sin \frac{\pi}{4}\right) \times 3\left(\cos \frac{\pi}{3}+ i \sin \frac{\pi}{3}\right)=$
. (结果写成三角形式)",复数,,$18\left(\cos \frac{7 \pi}{12}+i \sin \frac{7 \pi}{12}\right)$,,,,,,,,,,
高中,教辅题,人教B版必修四学探诊,第十章第3节,14,,"14. 已知 $\left|z_{1}\right|=\left|z_{2}\right|=1, z_{1}+z_{2}=\frac{1}{2}+\frac{\sqrt{3}}{2} i$, 求复数 $z_{1}, z_{2}$.",复数,,"$故 z_{1}=1, z_{2}=-\frac{1}{2}+\frac{\sqrt{3}}{2} i 或  z_{1}=-\frac{1}{2}+\frac{\sqrt{3}}{2} i, z_{2}=1 .$",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题A组,,,已知角α的终边在Y=-2X上，用三角函数的定义求α的六个三角函数值,三角函数,,"解 : 因为角 $a$ 的终边在直线 $y=-2 x$ 上

所以角a的终边可能在第二象限和第四象限

当角a的终边在第二象限时，设直线上任意一点为 $(x,-2 x)(x \lt 0)$

所以 $\sin a=-2 x / \sqrt{ }\left[x^{\wedge} 2+(-2 x)^{\wedge} 2\right]=2 \sqrt{ } 5 / 5$
$\cos a=x / \sqrt{ }\left[x^{\wedge} 2+(-2 x)^{\wedge} 2\right]=-\sqrt{ } 5 / 5 \tan a=-2 x / x=-2$

当角a的终边在第四象限时，设直线上任意一点为 $(x,-2 x)(x \gt 0)$

所以 $\sin a=-2 x / \sqrt{ }\left[x^{\wedge} 2+(-2 x)^{\wedge} 2\right]=-2 \sqrt{ } 5 / 5$
$\cos a=x / \sqrt{ }\left[x^{\wedge} 2+(-2 x)^{\wedge} 2\right]=\sqrt{ } 5 / 5 \tan a=-2 x / x=-2$",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题A组,,,"4. 用单位圆中的三角函数线证明：对于任意角 $\alpha$, 不等式
$|\sin \alpha|+|\cos \alpha| \geqslant 1$

总咸立.",三角函数,,"这个证明很容易，我们只要证明 $[0 ， \pi / 2]$ 内成立就行了，因为当函数小于 0 时，会被绝对值对称到 $X$轴以上：

当 $x \in[0 ， \pi / 2]$ 时
$|\sin x|+|\cos x|=\sin x+\cos x=\sqrt{ } 2 \sin (x+\pi / 4)$ ，其值域为 $[1 ， \sqrt{ } 2]$
根据图形我们可以很快得出，在其他区间，也成立，因此在 $(-\infty ，+\infty)$ 恒有
$|\sin x|+|\cos x| \geq 1$",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题A组,,,"2. 求下列函数的定义城:
(1) $y=\frac{1}{1+\sin x}$;
(2) $y=\frac{1}{1-\cos x}$;
(3) $y=\sqrt{\tan x}$.",三角函数,,"4
解: (1) 图为 $1+\sin x \neq 0$, 所以 $\sin x \neq-1$, 则 $x \neq-\frac{\pi}{2}+2 k \pi, k \in Z$,
(cos)
数定义域为 $\left\{x \in R \left\lvert\, x \neq-\frac{\pi}{2}+2 k \pi\right., k \in Z \right\}$.
(2) 图为 $1-\cos x \neq 0$, 所以 $\cos x \neq 1$, 则 $x \neq 2 k \pi, k \in Z$,故定义域为 $\{x \in R \mid x \neq 2 k \pi, k \in Z \}$ 。
(3) 因为 $\tan x \geqslant 0$, 所以 $k \pi \leqslant x \lt k \pi+\frac{\pi}{2}, k \in Z$,故定义域为 $\left\{x \left\lvert\, k \pi \leqslant x \lt k \pi+\frac{\pi}{2}\right., k \in Z \right\}$.",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题A组,,,"( ).
(A) 向左平移 $\frac{\pi}{3}$ 个单位长度
(B) 向右平移 $\frac{\pi}{3}$ 个单位长度
(C) 向在平移 $\frac{1}{3}$ 个单位长度
(D) 向右平移 $\frac{1}{3}$ 个草位长度",三角函数,,【解析】C,,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题A组,,,"(4) 面数 $y=\cos \left(x+\frac{\pi}{3}\right), x \in R (\quad)$.
(A) 是夺函数
(B) 是偶函数
(C) 既不是奇函数也不是伿函数
(D) 既是奇函数又是偶函数",三角函数,,【解析】C,,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题B组,,,"3. 已知 $\sin \alpha \cos \alpha=\frac{1}{8}$, 且 $\frac{\pi}{4} \lt \alpha \lt \frac{\pi}{2}$, 求 $\cos \alpha-\sin \alpha$ 的值.",三角函数,,$\cos \alpha-\sin \alpha=-\frac{\sqrt{3}}{2}$,,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题B组,,,"4. 已知 $\frac{\sec \theta}{\sqrt{1-\sin ^{2} \theta}}+\frac{\tan \theta}{\sqrt{\csc ^{2} \theta-1}}=-1$, 试判斯角 $\theta$ 所在的象胀.",三角函数,,第二象限角,,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题B组,,,"10. 设 $\cos 460^{\circ}=t$, 将 $\tan 260^{\circ}$ 表示为含 $t$ 的式子.",三角函数,,$\frac{\sqrt{1-t^{2}}}{-t}$,,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题B组,,,"9. 电流 $I$ 烸时间 $t$ 変化的关系式是
$I=5 \sin \left(100 \pi t+\frac{\pi}{3}\right), t \in[0,+\infty):$
（2）当 $t=0, \frac{1}{600}, \frac{1}{150}, \frac{7}{600}, \frac{1}{60}$ (单位: $s$ ) 时, 求电流 $I$.",三角函数,,"(2) 当 $t=0$ 时, $l=5 \sin \frac{\pi}{3}=\frac{5 \sqrt{3}}{2}$;

当 $t=\frac{1}{600}$ 时, $I=5 \sin \left(\frac{\pi}{6}+\frac{\pi}{3}\right)=5 \sin \frac{\pi}{2}=5$;
当 $t=\frac{1}{150}$ 时, $l=5 \sin \left(\frac{2}{3} \pi+\frac{\pi}{3}\right)=5 \sin \pi=0$;
当 $t=\frac{7}{600}$ 时, $l=5 \sin \left(\frac{7}{6} \pi+\frac{\pi}{3}\right)=5 \sin \frac{3}{2} \pi=-5$;
当 $t=\frac{1}{60}$ 时, $I=5 \sin \left(\frac{5}{3} \pi+\frac{\pi}{3}\right)=5 \sin 2 \pi=0$.
<解题提示
根捛函数 $y=A \sin (\omega x+\varphi)$ 的物
理意义来解。
$y=A \sin (\omega x+\varphi), x \in[0,$
$+\infty)$, 其中 $A \gt 0, \omega \gt 0$.
$A$ 一一简谐运动的振福;
$T=\frac{2 \pi}{\omega}$ 一一简谐运动的周期；
$f=\frac{1}{T}=\frac{\omega}{2 \pi}$ 一频率;
$\omega x+\varphi$ 称为相位; $x=0$ 时的相位
$\varphi$ 称为初相.",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修四,第一章习题B组,,,"$s=3 \cos \left(\sqrt{\frac{g}{l}} \iota+\frac{\pi}{3}\right), t \in[0,+\infty):$
（1）求小球徨动的周期；
（2）已知 $g \approx 980 cm / s ^{2}$ ，要使小琮些动的周期是 $1 s$, 缄的长度 $l$ 应当是多少( 精确到 $0.1 cm , \pi$取 3.14)?",三角函数,,(1) $2 \pi \sqrt{\frac{l}{g}}$,,,,,,,,,,
高中,教辅题,西城区学习探究诊断,第七章,,,"1. 函数 $y=3 \cos \left(\frac{2}{5} x-\frac{\pi}{6}\right)$ 的最小正周期是
(A) $\frac{2}{5} \pi$
(B) $\frac{5}{2} \pi$
(C) $2 \pi$
(D) $5 \pi$",三角函数,,1. D,,,,,,,,,,
高中,教辅题,西城区学习探究诊断,第七章,,,6. $\sin \left(-\frac{17 \pi}{3}\right)=$,三角函数,,6. $\frac{\sqrt{3}}{2}$,,,,,,,,,,
高中,教辅题,西城区学习探究诊断,第七章,,,"11. 已知 $\cos \alpha=\frac{1}{3},-\frac{\pi}{2} \lt \alpha \lt 0$, 求 $\frac{\cos \left(\frac{\pi}{2}+\alpha\right) \cos \alpha}{\cos (\pi-\alpha) \cos (-\alpha)}$ 的值.",三角函数,,"解因为 $\cos a=\frac{1}{3},-\frac{\pi}{2} \lt a \lt 0$, 所以 $\sin a=-\frac{2 \sqrt{2}}{3}$,所以 $\frac{\cos \left(\frac{\pi}{2}+\alpha\right) \cos \alpha}{\cos (\pi-\alpha) \cos (-\alpha)}=\frac{-\sin a \cos \alpha}{-\cos a \cos \alpha}=\frac{\sin \alpha}{\cos \alpha}=-2 \sqrt{2}$.",,,,,,,,,,
高中,教辅题,西城区学习探究诊断,第七章,,,"3. 已知 $\sin \left(\frac{\pi}{4}+\alpha\right)=\frac{\sqrt{3}}{2}$, 则 $\sin \left(\frac{3 \pi}{4}-\alpha\right)$ 的值为
(A) $\frac{1}{2}$
(B) $-\frac{1}{2}$
(C) $\frac{\sqrt{3}}{2}$
(D) $-\frac{\sqrt{3}}{2}$",三角函数,C,C,,,,,,,,,,
高中,教辅题,西城区学习探究诊断,第七章,,,11. 函数 $y=\sin \left(2 x-\frac{\pi}{3}\right)$ 的图像是由 $y-\sin x$ 的图像如何变换得到的?,三角函数,,"先把 $ y=\sin x $ 的图象上所有的点向右平移 $ \frac{\pi}{3} $ 个单位长度, 得到 $ y=\sin \left(x-\frac{\pi}{3}\right) $再把 $ y=\sin \left(x-\frac{\pi}{3}\right) $ 的图象上所有的点的横坐标缩短到原来的 $ \frac{1}{2} $ (纵坐标不变)，得 $ y=\sin \left(2 x-\frac{\pi}{3}\right) $ 的图象",,,,,,,,,,
高中,教辅题,西城区学习探究诊断,第七章,,,"14. 已知函数 $f(x)=A \sin (\omega x+\varphi)$ (其中 $\left.A \gt 0, \omega \gt 0,|\varphi| \lt \frac{\pi}{2}\right)$ 的图像与 $y$ 轴的交点为 $(0,1)$, 且在 $y$ 轴右側的第一个最大值点和最小值点分别为 $\left(x_{0}, 2\right),\left(x_{0}+3 \pi,-2\right)$.
(1) 求函数 $f(x)$ 的解析式及 $x_{0}$ 的值;
(2) 求函数 $f(x)$ 的单调递增区间;
(3) 说明由 $y=\sin x$ 的图像如何变换为 $f(x)$ 的图像.",三角函数,,"14. 解: (1) $f(x)=2 \sin \left(\frac{1}{3} x+\frac{\pi}{6}\right), x_{0}=\pi$;(2)单调递增区间为(3)先把 y=sinx 的图像上所有的点向左平移个单位长度，再把所得图像上各点的横坐标变为原来的3倍(纵标不变),最后将图像上各点的似标变为原来的2倍(横坐标不变)",,,,,,,,,,
高中,教辅题,西城区学习探究诊断,第七章,,,"8. 已知函数 $y=a-b \sin 4 x(b \gt 0)$ 的最大值是 5 , 最小值是 1 , 则 $a=$ ,$b=$",三角函数,,"8. 3,2",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题A组,,,"7. 甲、乙、丙三位同学被问到是否去过 $ \mathrm{A}, \mathrm{B}, \mathrm{C} $ 三个城市时, 甲说: 我去过的城市比乙多，但没去过 $ \mathrm{B} $ 城市; 乙说: 我没去过 $ \mathrm{C} $ 城市; 丙说: 我们三人去过同一个城市. 判断乙一定去过哪个城市.",集合与函数概念,,"解: 甲去过的城市比乙多, 但没去过 B 城市,则甲可能去过 A, C 城市, 乙没有去过 C 城市,则乙可能去过 A 城市. 又甲、乙、丙去过同一个城市, 故乙一定去过A城市.",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题A组,,,"4. 已知区间 $ M=(-1,3), N=(-2,1) $, 求 $ M \cup N, \complement_{\mathrm{R}} M $.",集合与函数概念,,"$M \cup N=(-2,3), \quad \complement_{ R } M=(-\infty,-1] \cup[3,+\infty)$",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题A组,,,"5. 设集合 $A=\{1,2\}, B=\{1,2,3\}, C=\{2,3,4\}$, 求 $(A \cap B) \cup C$.",集合与函数概念,,"【答案】 $\{1,2,3,4\}$.",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题B组,,,"2. 已知集合 $A=\left\{x \mid x^{2}-2 x=0\right\}, B=\{0,1,2\}$, 求 $A \cap B$.",集合与函数概念,,"$\{0,2\}$.",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题B组,,,"7. 已知全集 $U=\{1,2,3,4,5\}$, 集合 $A=\left\{x \mid x^{2}-3 x+2=0\right\}, B=\{x \mid$ $x=2 a, a \in A\}$, 求集合 $\complement_{U}(A \cup B)$ 中包含的元素个数.",集合与函数概念,,"【答案】
2",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题B组,,,"8. 已知集合 $A=[-2,2], B=\{x \mid x \geqslant a\}$, 且 $A \varsubsetneqq B$, 求 $a$ 的取值范围.",集合与函数概念,,"$(-\infty,-2]$",,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题C组,,,"1. 已知 $A=\{1,2,3,4,5\}, B=\{(x, y) \mid x \in A, y \in A, x-y \in A\}$, 求 $B$ 中所含元素的个数.",集合与函数概念,10,10,,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题C组,,,"3. 若 $\{1, \sqrt{a}\} \subseteq\left\{1,2,4, a^{2}\right\}$, 求 $a$ 的值.",集合与函数概念,,$a=0$ 或 $a=4$ 或 $a=16$,,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题C组,,,"4. 若 $\{0,-1,2 a\}=\{a-1,-|a|, a+1\}$, 求 $a$ 的值.",集合与函数概念,,【䆣寀】 $a=1$ 或 $a=-1$.,,,,,,,,,,
高中,教材题,人教版高中数学(B版)必修一,第一章复习题C组,,,"5. 设 $U$ 为全集, $A, B$ 是集合, 判断 “存在集合 $C$, 使得 $A \subseteq C, B \subseteq \complement_{U} C$ ”是 “ $A \cap B=\varnothing$ ” 的什么条件.",集合与函数概念,,"所以“存在集合 $C$ 使得 $A \subseteq C, B \subseteq \complement_{U} C$ ” 是“ $A \cap B=\varnothing$ ”的充要条件",,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试一,,,"13. 设集合 $A=\left\{x \mid x^{2}-x=0\right\}$, 集合 $B=\left\{x \mid x=\frac{1}{2}\left[1+(-1)^{n}\right], n \in Z \right\}$, 试问这两个集合是否相等, 并加以证明.",集合与函数概念,两集合相等,两集合相等,,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试一,,,"14. 已知集合 $A=\left\{x \in R \mid a x^{2}+2 x+1=0, a \in R \right\}$, 若 $A$ 中元素至多只有一个, 求实数 $a$ 的取值范围.",集合与函数概念,,$a \geqslant 1$ 或 $a=0$.,,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试二,,,"11. 设全集 $U= R , A=\{x \mid-5 \lt x \lt 7\}, B=\left\{x \mid x \gt 8\right.$ 或 $\left.x \lt \frac{1}{2}\right\}$.
(1) 求 $A \cap B$;
(2)求 $\left(\complement_{U} A\right) \cup B$.",集合与函数概念,,"11. (1) $A \cap B=\left\{x \left\lvert\,-5 \lt x \lt \frac{1}{2}\right.\right\}$.
(2) $\because \complement_{U} A=\{x \mid x \leqslant-5$ 或 $x \geqslant 7\}, \therefore\left(\complement_{U} A\right) \cup B=\left\{x \mid x \geqslant 7\right.$ 或 $\left.x \lt \frac{1}{2}\right\}$.",,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试二,,,"14. 设集合 $M=\left\{a \mid a=x^{2}-y^{2}, x, y \in Z \right\}$. 求证:
（1）一切奇数属于集合 $M$;
(2) 偶数 $4 k-2(k \in Z )$ 不属于 $M$;
(3) 属于 $M$ 的两个整数, 其乘积仍属于 $M$.",集合与函数概念,证明题，答案详见解析,证明题，答案详见解析,,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试三,,,"14. 若命题 “ $p: \forall x \in R , a x^{2}+2 x+1 \gt 0$ ” 是假命题, 求实数 $a$ 的取值范围.",集合与函数概念,,综上可得: 实数 $a$ 的取值范围是 $a \leqslant 1$.,,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试三,,,"7. 已知集合 $A=[a, a+2]$, 且 “ $\exists x \in A, x \lt 1$ ” 是假命题, 则实数 $a$ 的取值范围为",集合与函数概念,,"7. $[1,+\infty)$",,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试四,,,"12. 已知使不等式组 $\left\{\begin{array}{l}x-m \lt 1, \\ x-m \gt -1\end{array}\right.$ 成立的充分不必要条件是 $\frac{1}{3} \lt x \lt \frac{1}{2}$, 求实数 $m$ 的取值范围.",集合与函数概念,,$-\frac{1}{2} \leqslant m \leqslant \frac{4}{3}$.,,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试四,,,"14. 已知关于 $x$ 的方程 $m x^{2}-2 x+m=0$, 其中 $m \in[-3,3]$.
(1)求“该方程有实数根”的充要条件;
(2)写出一个“该方程有实数根”的充分不必要条件, 并说明理由;
(3) 写出一个“该方程至多有一个实数根” 的必要不充分条件, 并说明理由.",集合与函数概念,详见解析,"(1) $ \{m \mid-1 \leqslant m \leqslant 1\} $ 是“该方程有实数根”的充要条件.

(2)答案不唯一, 比如: $ \{m \mid 0 \leqslant m \leqslant 1\} $

(3)答案不唯一, 比如: $ \{m \mid m \leqslant 3\} $",,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试五,,,"4. 已知集合 $P=\{(x, y) \mid x+2 y=a\}, Q=\{(x, y) \mid 2 x-y=b\}$. 若 $P \cap Q=\{(1,-1)\}$, 则 $a+b$等于
$( A )-3$
(B) -1
(C) 0
(D) 2",集合与函数概念,,4. D,,,,,,,,,,
高中,教辅题,西城区学习探究诊测必修一,第一章测试五,,,"14. 已知集合 $A=\{-2\}, B=\left\{x \mid x^{2}+a x+a^{2}-12=0\right\}$, 若 $A \cap B=B$, 求实数 $a$ 的取值范围.",集合与函数概念,,",$a \geqslant 4$ 或 $a \lt -4$.",,,,,,,,,,
高中,教材题,人教版高中选修(B版)4-5,第一章习题1-1,,,"9. 已知 $-1 \lt x \lt y \lt 0$, 比较 $\frac{1}{x}, \frac{1}{y}, x^{2}, y^{2}$ 的大小关系.",不等式选讲,,$\frac{1}{y} \lt \frac{1}{x} \lt y^{2} \lt x^{2}$,,,,,,,,,,
